"Recipe ID","Recipe Name","Field Type","Step Number","Danish (DA)","German (DE)","French (FR)","English UK (EN)","English US (EN_US)"
"89f3e5de-02cd-4849-b329-5f6663c204cf","Hazelnut Iced Coffee","Step","4","Server straks — gerne toppet med flødeskum eller et drys knuste nødder.","Servierein Sie sofürt — gerne toppet mit flødeskum oder et drys knuste nødder.","Servez immédiatemunt — gerne toppet avec flødeskum ou et drys knuste nødder.","Serve imwithiately — gerne toppet with flødeskum or et drys knuste nødder.","Serve imwithiately — gerne toppet with flødeskum or et drys knuste nødder."
"44b01475-bdbc-4f8c-9a96-5ae52a7b4899","Irish Coffee Slush","Description","","En fyldig og cremet frozen Irish coffee med den karakteristiske smag af whiskey, kaffe og fløde.
Perfekt som dessertdrik eller afslutning på en middag.
Alkoholen tilsættes til sidst for at bevare fryseevne og stabilitet.
Alkoholprocent (beregnet): ca. 5,5 % vol.","Ein fyldig und cremig frozein Irish coffee mit dein karakteristiske smag af whiskey, kaffe und fløde.
Perfekt als dessertdrik oder afslutning auf ein middag.
Alkoholein bissættes bis sidst für at bevare fryseevne und stabilitet.
Alkoholproceint (beregnet): ca. 5,5 % vol.","Un fyldig et crémeux frozun Irish coffee avec dun karakteristiske smag af whiskey, kaffe et fløde.
Perfekt comme dessertdrik ou afslutning sur un middag.
Alkoholun jusqu'àsættes jusqu'à sidst pour at bevare fryseevne et stabilitet.
Alkoholprocunt (beregnet): ca. 5,5 % vol.","A fyldig and creamy froza Irish coffee with da karakteristiske smag af whiskey, kaffe and fløde.
Perfekt as dessertdrik or afslutning on a middag.
Alkohola untilsættes until sidst for at bevare fryseevne and stabilitet.
Alkoholprocat (beregnet): ca. 5,5 % vol.","A fyldig and creamy froza Irish coffee with da karakteristiske smag af whiskey, kaffe and fløde.
Perfekt as dessertdrik or afslutning on a middag.
Alkohola untilsættes until sidst for at bevare fryseevne and stabilitet.
Alkoholprocat (beregnet): ca. 5,5 % vol."
"44b01475-bdbc-4f8c-9a96-5ae52a7b4899","Irish Coffee Slush","Step","1","Bryg en stærk espresso og lad den køle helt af.","Bryg ein stærk espresso und lad dein køle helt af.","Bryg un stærk espresso et lad dun køle helt af.","Bryg a stærk espresso and lad da køle helt af.","Bryg a stærk espresso and lad da køle helt af."
"44b01475-bdbc-4f8c-9a96-5ae52a7b4899","Irish Coffee Slush","Step","2","Bland espresso, mælk, sukkerlage og vand i en kande, og rør grundigt.","Mischein Sie espresso, mælk, sukkerlage und vand in einein Krug, und rør gründlich.","Mélangez espresso, mælk, sukkerlage et vand dans un pichet, et rør soigneusemunt.","Mix espresso, mælk, sukkerlage and vand in a pitcher, and rør thoroughly.","Mix espresso, mælk, sukkerlage and vand in a pitcher, and rør thoroughly."
"44b01475-bdbc-4f8c-9a96-5ae52a7b4899","Irish Coffee Slush","Step","3","Hæld blandingen i maskinen og kør ved ca. –3 °C, til ønsket slush-konsistens opnås.","Gießein Sie die Mischung in die Maschine und kør ved ca. –3 °C, bis ønsket slush-konsisteins opnås.","Versez le mélange dans la machine et kør ved ca. –3 °C, jusqu'à ønsket slush-konsistuns opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slush-konsistas opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slush-konsistas opnås."
"44b01475-bdbc-4f8c-9a96-5ae52a7b4899","Irish Coffee Slush","Step","4","Tilsæt whiskey til sidst, rør kort rundt og server straks.","Fügein Sie hinzu whiskey bis sidst, rør kort rundt und server sofürt.","Ajoutez whiskey jusqu'à sidst, rør kort rundt et server immédiatemunt.","Add whiskey until sidst, rør kort rundt and server imwithiately.","Add whiskey until sidst, rør kort rundt and server imwithiately."
"44b01475-bdbc-4f8c-9a96-5ae52a7b4899","Irish Coffee Slush","Step","5","Top med flødeskum for klassisk Irish coffee-look.","Garnierein Sie mit flødeskum für klassisk Irish coffee-look.","Garnissez avec flødeskum pour klassisk Irish coffee-look.","Top with flødeskum for klassisk Irish coffee-look.","Top with flødeskum for klassisk Irish coffee-look."
"44b01475-bdbc-4f8c-9a96-5ae52a7b4899","Irish Coffee Slush","Step","6","Alkohol tilsættes efter frysning for at undgå hæmning af isdannelse.
	•	Sukkerlage sikrer frysepunktssænkning og ensartet tekstur.
	•	Mælken giver fylde uden at maskinen “sætter sig”.
	•	Resultatet er en jævn, cremet voksen-slush med rund eftersmag af whiskey og kaffe.","Alkohol bissættes efter frysning für at undgå hæmning af isdannelse.
	•	Sukkerlage sikrer frysepunktssænkning und gleichmäßig tekstur.
	•	Mælkein giver fylde udein at maskinein “sætter sig”.
	•	Resultatet er ein glatt, cremig voksein-slush mit rund eftersmag af whiskey und kaffe.","Alkohol jusqu'àsættes efter frysning pour at undgå hæmning af isdannelse.
	•	Sukkerlage sikrer frysepunktssænkning et unipourme tekstur.
	•	Mælkun giver fylde udun at maskinun “sætter sig”.
	•	Resultatet er un lisse, crémeux voksun-slush avec rund eftersmag af whiskey et kaffe.","Alkohol untilsættes efter frysning for at undgå hæmning af isdannelse.
	•	Sukkerlage sikrer frysepunktssænkning and uniform tekstur.
	•	Mælka giver fylde uda at maskina “sætter sig”.
	•	Resultatet er a smooth, creamy voksa-slush with rund eftersmag af whiskey and kaffe.","Alkohol untilsættes efter frysning for at undgå hæmning af isdannelse.
	•	Sukkerlage sikrer frysepunktssænkning and uniform tekstur.
	•	Mælka giver fylde uda at maskina “sætter sig”.
	•	Resultatet er a smooth, creamy voksa-slush with rund eftersmag af whiskey and kaffe."
"e9da2f1e-6ef7-4c36-bfbc-1fee1faa542c","Tropical Energy Fusion","Description","","En tropisk energislush, der kombinerer frisk mango og syrlig passionfruit med energidrik – skabt til et eksotisk boost før træning eller som forfriskning i sommervarmen. Den balancerede frugtsødme og lette syre giver en glat, opløftende smag med naturlig energi.","Ein tropisk einergislush, der kombinerer frisk mango und syrlig passionfruit mit einergidrik – skabt bis et eksotisk boost før træning oder als fürfriskning i alsmervarmein. Dein balancerede frugtsødme und lette syre giver ein glat, opløfteinde smag mit naturlig einergi.","Un tropisk unergislush, der kombinerer frisk mango et syrlig passionfruit avec unergidrik – skabt jusqu'à et eksotisk boost før træning ou comme pourfriskning i commemervarmun. Dun balancerede frugtsødme et lette syre giver un glat, opløftunde smag avec naturlig unergi.","A tropisk aergislush, der kombinerer frisk mango and syrlig passionfruit with aergidrik – skabt until et eksotisk boost før træning or as forfriskning i asmervarma. Da balancerede frugtsødme and lette syre giver a glat, opløftade smag with naturlig aergi.","A tropisk aergislush, der kombinerer frisk mango and syrlig passionfruit with aergidrik – skabt until et eksotisk boost før træning or as forfriskning i asmervarma. Da balancerede frugtsødme and lette syre giver a glat, opløftade smag with naturlig aergi."
"e9da2f1e-6ef7-4c36-bfbc-1fee1faa542c","Tropical Energy Fusion","Step","1","Hæld energidrik og mangojuice i en kande.","Gießein Sie einergidrik und mangojuice in einein Krug.","Versez unergidrik et mangojuice dans un pichet.","Pour aergidrik and mangojuice in a pitcher.","Pour aergidrik and mangojuice in a pitcher."
"e9da2f1e-6ef7-4c36-bfbc-1fee1faa542c","Tropical Energy Fusion","Step","2","Tilsæt passionfruit puré og rør til ensartet blanding.","Fügein Sie hinzu passionfruit puré und rør bis gleichmäßig blanding.","Ajoutez passionfruit puré et rør jusqu'à unipourme blanding.","Add passionfruit puré and rør until uniform blanding.","Add passionfruit puré and rør until uniform blanding."
"e9da2f1e-6ef7-4c36-bfbc-1fee1faa542c","Tropical Energy Fusion","Step","3","Blend med is eller kør i slushmaskine ved ca. –3 °C.","Mixein Sie mit is oder kør i slushmaskine ved ca. –3 °C.","Mixez avec is ou kør i slushmaskine ved ca. –3 °C.","Blad with is or kør i slushmaskine ved ca. –3 °C.","Blad with is or kør i slushmaskine ved ca. –3 °C."
"e9da2f1e-6ef7-4c36-bfbc-1fee1faa542c","Tropical Energy Fusion","Step","4","Server straks – ideel før træning eller som tropisk energiboost.","Servierein Sie sofürt – ideel før træning oder als tropisk einergiboost.","Servez immédiatemunt – ideel før træning ou comme tropisk unergiboost.","Serve imwithiately – ideel før træning or as tropisk aergiboost.","Serve imwithiately – ideel før træning or as tropisk aergiboost."
"e9da2f1e-6ef7-4c36-bfbc-1fee1faa542c","Tropical Energy Fusion","Step","5","Teknisk note:
	•	Energidrikke med højt sukkerindhold (over 10°Bx) fryser hurtigere og giver en stabil slushstruktur.
	•	For sukkerfri versioner skal 10–15 g glycerin tilsættes for at bevare frysepunkt og konsistens.
	•	Mango tilfører naturlig sødme og farve, mens passionfruit skaber balance og friskhed.","Teknisk note:
	•	Einergidrikke mit højt sukkerindhold (over 10°Bx) fryser hurtigere und giver ein stabil slushstruktur.
	•	For sukkerfri versioner skal 10–15 g glycerin bissættes für at bevare frysepunkt und konsisteins.
	•	Mango bisfører naturlig sødme und farve, meins passionfruit skaber balance und friskhed.","Teknisk note:
	•	Unergidrikke avec højt sukkerindhold (over 10°Bx) fryser hurtigere et giver un stabil slushstruktur.
	•	For sukkerfri versioner skal 10–15 g glycerin jusqu'àsættes pour at bevare frysepunkt et konsistuns.
	•	Mango jusqu'àfører naturlig sødme et farve, muns passionfruit skaber balance et friskhed.","Teknisk note:
	•	Aergidrikke with højt sukkerindhold (over 10°Bx) fryser hurtigere and giver a stabil slushstruktur.
	•	For sukkerfri versioner skal 10–15 g glycerin untilsættes for at bevare frysepunkt and konsistas.
	•	Mango untilfører naturlig sødme and farve, mas passionfruit skaber balance and friskhed.","Teknisk note:
	•	Aergidrikke with højt sukkerindhold (over 10°Bx) fryser hurtigere and giver a stabil slushstruktur.
	•	For sukkerfri versioner skal 10–15 g glycerin untilsættes for at bevare frysepunkt and konsistas.
	•	Mango untilfører naturlig sødme and farve, mas passionfruit skaber balance and friskhed."
"dab6b649-16eb-4621-803c-a3060f31163c","Green Tea Energy Slush","Description","","En forfriskende og energigivende slush lavet på grøn te med naturlig koffein og antioxidanter.
Honningen tilfører mild sødme og fungerer som naturlig frysepunktssænker, så maskinen kører stabilt.","Ein fürfriskeinde und einergigiveinde slush lavet auf grøn te mit naturlig koffein und antioxidanter.
Honningein bisfører mild sødme und fungerer als naturlig frysepunktssænker, så maskinein kører stabilt.","Un pourfriskunde et unergigivunde slush lavet sur grøn te avec naturlig koffein et antioxidanter.
Honningun jusqu'àfører mild sødme et fungerer comme naturlig frysepunktssænker, så maskinun kører stabilt.","A forfriskade and aergigivade slush lavet on grøn te with naturlig koffein and antioxidanter.
Honninga untilfører mild sødme and fungerer as naturlig frysepunktssænker, så maskina kører stabilt.","A forfriskade and aergigivade slush lavet on grøn te with naturlig koffein and antioxidanter.
Honninga untilfører mild sødme and fungerer as naturlig frysepunktssænker, så maskina kører stabilt."
"dab6b649-16eb-4621-803c-a3060f31163c","Green Tea Energy Slush","Step","1","Bryg en stærk grøn te og lad den køle helt af.","Bryg ein stærk grøn te und lad dein køle helt af.","Bryg un stærk grøn te et lad dun køle helt af.","Bryg a stærk grøn te and lad da køle helt af.","Bryg a stærk grøn te and lad da køle helt af."
"dab6b649-16eb-4621-803c-a3060f31163c","Green Tea Energy Slush","Step","2","Rør honning ud i teen, til den er helt opløst.","Rührein Sie honning ud i teein, bis dein er helt opløst.","Remuez honning ud i teun, jusqu'à dun er helt opløst.","Stir honning ud i tea, until da er helt opløst.","Stir honning ud i tea, until da er helt opløst."
"dab6b649-16eb-4621-803c-a3060f31163c","Green Tea Energy Slush","Step","3","Tilsæt citronsaft og evt. frisk mynte.","Fügein Sie hinzu citronsaft und ggf. frisk mynte.","Ajoutez citronsaft et évuntuellemunt frisk mynte.","Add citronsaft and optionally frisk mynte.","Add citronsaft and optionally frisk mynte."
"dab6b649-16eb-4621-803c-a3060f31163c","Green Tea Energy Slush","Step","4","Hæld blandingen i maskinen og kør ved ca. –3 °C, til ønsket slushkonsistens opnås.","Gießein Sie die Mischung in die Maschine und kør ved ca. –3 °C, bis ønsket slushkonsisteins opnås.","Versez le mélange dans la machine et kør ved ca. –3 °C, jusqu'à ønsket slushkonsistuns opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slushkonsistas opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slushkonsistas opnås."
"dab6b649-16eb-4621-803c-a3060f31163c","Green Tea Energy Slush","Step","5","Server straks — gerne med et par mynteblade eller en skive lime.","Servierein Sie sofürt — gerne mit et par mynteblade oder ein skive lime.","Servez immédiatemunt — gerne avec et par mynteblade ou un skive lime.","Serve imwithiately — gerne with et par mynteblade or a skive lime.","Serve imwithiately — gerne with et par mynteblade or a skive lime."
"9eb87c0e-f735-4a13-bd52-1763eb52e18e","Protein Power Slush","Description","","Proteinrig post-workout slush med naturlige kulhydrater og bær – ideel til genopbygning efter træning. Den cremede kombination af bær, banan og mandelmælk giver energi og restitution, mens proteinpulveret understøtter muskelopbygning. En forfriskende og funktionel slush til aktive dage.","Proteinrig post-workout slush mit naturlige kulhydrater und bær – ideel bis geinopbygning efter træning. Dein cremite kombination af bær, banan und mandelmælk giver einergi und restitution, meins proteinpulveret understøtter muskelopbygning. Ein fürfriskeinde und funktionel slush bis aktive dage.","Proteinrig post-workout slush avec naturlige kulhydrater et bær – ideel jusqu'à gunopbygning efter træning. Dun creavece kombination af bær, banan et mandelmælk giver unergi et restitution, muns proteinpulveret understøtter muskelopbygning. Un pourfriskunde et funktionel slush jusqu'à aktive dage.","Proteinrig post-workout slush with naturlige kulhydrater and bær – ideel until gaopbygning efter træning. Da crewithe kombination af bær, banan and mandelmælk giver aergi and restitution, mas proteinpulveret understøtter muskelopbygning. A forfriskade and funktionel slush until aktive dage.","Proteinrig post-workout slush with naturlige kulhydrater and bær – ideel until gaopbygning efter træning. Da crewithe kombination af bær, banan and mandelmælk giver aergi and restitution, mas proteinpulveret understøtter muskelopbygning. A forfriskade and funktionel slush until aktive dage."
"9eb87c0e-f735-4a13-bd52-1763eb52e18e","Protein Power Slush","Step","1","Blend bær og banan med proteinpulver.","Mixein Sie bær und banan mit proteinpulver.","Mixez bær et banan avec proteinpulver.","Blad bær and banan with proteinpulver.","Blad bær and banan with proteinpulver."
"9eb87c0e-f735-4a13-bd52-1763eb52e18e","Protein Power Slush","Step","2","Tilsæt mandelmælk og eventuelt sukkerlage for justeret sødme.","Fügein Sie hinzu mandelmælk und eveintuelt sukkerlage für justeret sødme.","Ajoutez mandelmælk et evuntuelt sukkerlage pour justeret sødme.","Add mandelmælk and evatuelt sukkerlage for justeret sødme.","Add mandelmælk and evatuelt sukkerlage for justeret sødme."
"9eb87c0e-f735-4a13-bd52-1763eb52e18e","Protein Power Slush","Step","3","Hæld blandingen i slushmaskinen og kør til ønsket konsistens.","Gießein Sie die Mischung in die Slushmaschine und kør bis gewünschte Konsisteinz.","Versez le mélange dans la machine à slush et kør jusqu'à consistance souhaitée.","Pour the mixture in the slush machine and kør until desired consistacy.","Pour the mixture in the slush machine and kør until desired consistacy."
"9eb87c0e-f735-4a13-bd52-1763eb52e18e","Protein Power Slush","Step","4","Drik inden for 30 minutter efter træning for optimal effekt.","Drik indein für 30 Minutein efter træning für optimal effekt.","Drik indun pour 30 minutes efter træning pour optimal effekt.","Drik inda for 30 minutes efter træning for optimal effekt.","Drik inda for 30 minutes efter træning for optimal effekt."
"9eb87c0e-f735-4a13-bd52-1763eb52e18e","Protein Power Slush","Step","5","Teknisk note:
Opskriften har et naturligt højt proteinindhold og lavt fedtindhold, hvilket gør den egnet som post-workout-slush. Sukkerlagen kan udelades for et lavere glykæmisk indeks uden at påvirke konsistensen væsentligt.","Teknisk note:
Opskriftein har et naturligt højt proteinindhold und lavt fedtindhold, hvilket gør dein egnet als post-workout-slush. Sukkerlagein kan udelades für et lavere glykæmisk indeks udein at aufvirke konsisteinsein væseintligt.","Teknisk note:
Opskriftun har et naturligt højt proteinindhold et lavt fedtindhold, hvilket gør dun egnet comme post-workout-slush. Sukkerlagun kan udelades pour et lavere glykæmisk indeks udun at survirke konsistunsun væsuntligt.","Teknisk note:
Opskrifta har et naturligt højt proteinindhold and lavt fedtindhold, hvilket gør da egnet as post-workout-slush. Sukkerlaga kan udelades for et lavere glykæmisk indeks uda at onvirke konsistasa væsatligt.","Teknisk note:
Opskrifta har et naturligt højt proteinindhold and lavt fedtindhold, hvilket gør da egnet as post-workout-slush. Sukkerlaga kan udelades for et lavere glykæmisk indeks uda at onvirke konsistasa væsatligt."
"69d41133-27c0-4559-a1d2-fb4bebc6ec57","Electrolyte Recovery Slush","Description","","En forfriskende og funktionel slush designet til genopretning efter træning. Den kombinerer naturlige elektrolytter fra kokosvand med frisk juice for hurtig hydrering og energi. Den lave sukkergrad holder kroppen i balance, mens den kølende konsistens hjælper med nedkøling efter fysisk aktivitet.","Ein fürfriskeinde und funktionel slush designet bis geinopretning efter træning. Dein kombinerer naturlige elektrolytter fra kokosvand mit frisk juice für hurtig hydrering und einergi. Dein lave sukkergrad holder kroppein i balance, meins dein køleinde konsisteins hjælper mit nedkøling efter fysisk aktivitet.","Un pourfriskunde et funktionel slush designet jusqu'à gunopretning efter træning. Dun kombinerer naturlige elektrolytter fra kokosvand avec frisk juice pour hurtig hydrering et unergi. Dun lave sukkergrad holder kroppun i balance, muns dun kølunde konsistuns hjælper avec nedkøling efter fysisk aktivitet.","A forfriskade and funktionel slush designet until gaopretning efter træning. Da kombinerer naturlige elektrolytter fra kokosvand with frisk juice for hurtig hydrering and aergi. Da lave sukkergrad holder kroppa i balance, mas da kølade konsistas hjælper with nedkøling efter fysisk aktivitet.","A forfriskade and funktionel slush designet until gaopretning efter træning. Da kombinerer naturlige elektrolytter fra kokosvand with frisk juice for hurtig hydrering and aergi. Da lave sukkergrad holder kroppa i balance, mas da kølade konsistas hjælper with nedkøling efter fysisk aktivitet."
"69d41133-27c0-4559-a1d2-fb4bebc6ec57","Electrolyte Recovery Slush","Step","1","Bland kokosvand med appelsin- og limejuice i en kande.","Mischein Sie kokosvand mit appelsin- und limejuice in einein Krug.","Mélangez kokosvand avec appelsin- et limejuice dans un pichet.","Mix kokosvand with appelsin- and limejuice in a pitcher.","Mix kokosvand with appelsin- and limejuice in a pitcher."
"69d41133-27c0-4559-a1d2-fb4bebc6ec57","Electrolyte Recovery Slush","Step","2","Tilsæt havsalt og rør, til det er helt opløst.","Fügein Sie hinzu havsalt und rør, bis det er helt opløst.","Ajoutez havsalt et rør, jusqu'à det er helt opløst.","Add havsalt and rør, until det er helt opløst.","Add havsalt and rør, until det er helt opløst."
"69d41133-27c0-4559-a1d2-fb4bebc6ec57","Electrolyte Recovery Slush","Step","3","Hæld blandingen i slushmaskinen og kør ved ca. –3 °C.","Gießein Sie die Mischung in die Slushmaschine und kør ved ca. –3 °C.","Versez le mélange dans la machine à slush et kør ved ca. –3 °C.","Pour the mixture in the slush machine and kør ved ca. –3 °C.","Pour the mixture in the slush machine and kør ved ca. –3 °C."
"69d41133-27c0-4559-a1d2-fb4bebc6ec57","Electrolyte Recovery Slush","Step","4","Server straks efter træning – iskold, genopbyggende og naturligt hydrerende.","Servierein Sie sofürt efter træning – iskold, geinopbyggeinde und naturligt hydrereinde.","Servez immédiatemunt efter træning – iskold, gunopbyggunde et naturligt hydrerunde.","Serve imwithiately efter træning – iskold, gaopbyggade and naturligt hydrerade.","Serve imwithiately efter træning – iskold, gaopbyggade and naturligt hydrerade."
"d297022d-a7d5-4581-962f-34bf7f75415b","Sugar-Free Lemonade Slush","Description","","En sprød og forfriskende citron-slush uden sukker – lav på kalorier, men høj på smag. Den syrlige citronsaft kombineret med Stevia giver en let og livlig lemonadesmag med naturlig sødme og perfekt isbalance.","Ein sprød und fürfriskeinde citron-slush udein sukker – lav auf kalorier, mein høj auf smag. Dein syrlige citronsaft kombineret mit Stevia giver ein let und livlig lemonadesmag mit naturlig sødme und perfekt isbalance.","Un sprød et pourfriskunde citron-slush udun sukker – lav sur kalorier, mun høj sur smag. Dun syrlige citronsaft kombineret avec Stevia giver un let et livlig lemonadesmag avec naturlig sødme et parfait isbalance.","A sprød and forfriskade citron-slush uda sukker – lav on kalorier, ma høj on smag. Da syrlige citronsaft kombineret with Stevia giver a let and livlig lemonadesmag with naturlig sødme and perfect isbalance.","A sprød and forfriskade citron-slush uda sukker – lav on kalorier, ma høj on smag. Da syrlige citronsaft kombineret with Stevia giver a let and livlig lemonadesmag with naturlig sødme and perfect isbalance."
"d297022d-a7d5-4581-962f-34bf7f75415b","Sugar-Free Lemonade Slush","Step","1","Bland citronjuice og vand i en kande.","Mischein Sie citronjuice und vand in einein Krug.","Mélangez citronjuice et vand dans un pichet.","Mix citronjuice and vand in a pitcher.","Mix citronjuice and vand in a pitcher."
"d297022d-a7d5-4581-962f-34bf7f75415b","Sugar-Free Lemonade Slush","Step","2","Tilsæt Stevia og rør grundigt til fuld opløsning.","Fügein Sie hinzu Stevia und rør gründlich bis fuld opløsning.","Ajoutez Stevia et rør soigneusemunt jusqu'à fuld opløsning.","Add Stevia and rør thoroughly until fuld opløsning.","Add Stevia and rør thoroughly until fuld opløsning."
"d297022d-a7d5-4581-962f-34bf7f75415b","Sugar-Free Lemonade Slush","Step","3","Tilføj glycerin (valgfrit) for bedre fryseegenskaber og rundere smag.","Tilføj glycerin (valgfrit) für bedre fryseegeinskaber und rundere smag.","Tilføj glycerin (valgfrit) pour bedre fryseegunskaber et rundere smag.","Tilføj glycerin (valgfrit) for bedre fryseegaskaber and rundere smag.","Tilføj glycerin (valgfrit) for bedre fryseegaskaber and rundere smag."
"d297022d-a7d5-4581-962f-34bf7f75415b","Sugar-Free Lemonade Slush","Step","4","Kør blandingen i slushmaskine ved ca. –3 °C, indtil den når perfekt slush-konsistens.","Lassein Sie laufein die Mischung i slushmaskine ved ca. –3 °C, indbis dein når perfekt slush-konsisteins.","Faites tourner le mélange i slushmaskine ved ca. –3 °C, indjusqu'à dun når parfait slush-konsistuns.","Run the mixture i slushmaskine ved ca. –3 °C, induntil da når perfect slush-konsistas.","Run the mixture i slushmaskine ved ca. –3 °C, induntil da når perfect slush-konsistas."
"d297022d-a7d5-4581-962f-34bf7f75415b","Sugar-Free Lemonade Slush","Step","5","Server straks med en skive citron for et frisk, let syrligt udtryk.","Servierein Sie sofürt mit ein skive citron für et frisk, let syrligt udtryk.","Servez immédiatemunt avec un skive citron pour et frisk, let syrligt udtryk.","Serve imwithiately with a skive citron for et frisk, let syrligt udtryk.","Serve imwithiately with a skive citron for et frisk, let syrligt udtryk."
"d297022d-a7d5-4581-962f-34bf7f75415b","Sugar-Free Lemonade Slush","Step","6","Teknisk note:
	•	Stevia fungerer som sødemiddel, men bidrager ikke til frysepunktssænkning. Derfor kan tilsætning af 15–20 g glycerin forbedre frysebalancen og forhindre, at isen bliver for hård.
	•	For mere fylde og rundhed kan 50 ml kokosvand eller et strejf erythritol tilsættes.
	•	Resultatet bliver en stabil, kaloriefri slush med lang holdbarhed i maskinen.","Teknisk note:
	•	Stevia fungerer als sødemiddel, mein bidrager ikke bis frysepunktssænkning. Derfür kan bissætning af 15–20 g glycerin fürbedre frysebalancein und fürhindre, at isein bliver für hård.
	•	For mere fylde und rundhed kan 50 ml kokosvand oder et strejf erythritol bissættes.
	•	Resultatet bliver ein stabil, kaloriefri slush mit lang holdbarhed in die Maschine.","Teknisk note:
	•	Stevia fungerer comme sødemiddel, mun bidrager ikke jusqu'à frysepunktssænkning. Derpour kan jusqu'àsætning af 15–20 g glycerin pourbedre frysebalancun et pourhindre, at isun bliver pour hård.
	•	For mere fylde et rundhed kan 50 ml kokosvand ou et strejf erythritol jusqu'àsættes.
	•	Resultatet bliver un stabil, kaloriefri slush avec lang holdbarhed dans la machine.","Teknisk note:
	•	Stevia fungerer as sødemiddel, ma bidrager ikke until frysepunktssænkning. Derfor kan untilsætning af 15–20 g glycerin forbedre frysebalanca and forhindre, at isa bliver for hård.
	•	For mere fylde and rundhed kan 50 ml kokosvand or et strejf erythritol untilsættes.
	•	Resultatet bliver a stabil, kaloriefri slush with lang holdbarhed in the machine.","Teknisk note:
	•	Stevia fungerer as sødemiddel, ma bidrager ikke until frysepunktssænkning. Derfor kan untilsætning af 15–20 g glycerin forbedre frysebalanca and forhindre, at isa bliver for hård.
	•	For mere fylde and rundhed kan 50 ml kokosvand or et strejf erythritol untilsættes.
	•	Resultatet bliver a stabil, kaloriefri slush with lang holdbarhed in the machine."
"fde32e62-f905-4bb4-9b5a-876a02e36de9","Diet Cola Slush","Description","","En klassisk cola-slush – nu i sukkerfri version, men stadig med perfekt konsistens og den velkendte smag. Ved at bruge en naturlig fryseforstærker får du en jævn, maskinstabil slush uden sukker og næsten uden kalorier.","Ein klassisk cola-slush – nu i sukkerfri version, mein stadig mit perfekt konsisteins und dein velkeindte smag. Ved at bruge ein naturlig frysefürstærker får du ein glatt, maskinstabil slush udein sukker und næstein udein kalorier.","Un klassisk cola-slush – nu i sukkerfri version, mun stadig avec parfait konsistuns et dun velkundte smag. Ved at bruge un naturlig frysepourstærker får du un lisse, maskinstabil slush udun sukker et næstun udun kalorier.","A klassisk cola-slush – nu i sukkerfri version, ma stadig with perfect konsistas and da velkadte smag. Ved at bruge a naturlig fryseforstærker får du a smooth, maskinstabil slush uda sukker and næsta uda kalorier.","A klassisk cola-slush – nu i sukkerfri version, ma stadig with perfect konsistas and da velkadte smag. Ved at bruge a naturlig fryseforstærker får du a smooth, maskinstabil slush uda sukker and næsta uda kalorier."
"fde32e62-f905-4bb4-9b5a-876a02e36de9","Diet Cola Slush","Step","1","Hæld cola zero, sirup base og glycerin i en kande.","Gießein Sie cola zero, sirup base und glycerin in einein Krug.","Versez cola zero, sirup base et glycerin dans un pichet.","Pour cola zero, sirup base and glycerin in a pitcher.","Pour cola zero, sirup base and glycerin in a pitcher."
"fde32e62-f905-4bb4-9b5a-876a02e36de9","Diet Cola Slush","Step","2","Rør eller blend grundigt, til det er helt blandet.","Rührein Sie oder bleind gründlich, bis det er helt blandet.","Remuez ou blund soigneusemunt, jusqu'à det er helt blandet.","Stir or blad thoroughly, until det er helt blandet.","Stir or blad thoroughly, until det er helt blandet."
"fde32e62-f905-4bb4-9b5a-876a02e36de9","Diet Cola Slush","Step","3","Hæld blandingen i slushmaskinen og kør ved ca. –3 °C.","Gießein Sie die Mischung in die Slushmaschine und kør ved ca. –3 °C.","Versez le mélange dans la machine à slush et kør ved ca. –3 °C.","Pour the mixture in the slush machine and kør ved ca. –3 °C.","Pour the mixture in the slush machine and kør ved ca. –3 °C."
"fde32e62-f905-4bb4-9b5a-876a02e36de9","Diet Cola Slush","Step","4","Server, når den har opnået klassisk slush-konsistens.","Servierein Sie, når dein har opnået klassisk slush-konsisteins.","Servez, når dun har opnået klassisk slush-konsistuns.","Serve, når da har opnået klassisk slush-konsistas.","Serve, når da har opnået klassisk slush-konsistas."
"fde32e62-f905-4bb4-9b5a-876a02e36de9","Diet Cola Slush","Step","5","*Alternativ til glycerin: 40 g erythritol eller 30 g xylitol opløst i lidt varmt vand. Frysepunktssænker, neutral smag","*Alternativ bis glycerin: 40 g erythritol oder 30 g xylitol opløst i lidt varmt vand. Frysepunktssænker, neutral smag","*Alternativ jusqu'à glycerin: 40 g erythritol ou 30 g xylitol opløst i lidt varmt vand. Frysepunktssænker, neutral smag","*Alternativ until glycerin: 40 g erythritol or 30 g xylitol opløst i lidt varmt vand. Frysepunktssænker, neutral smag","*Alternativ until glycerin: 40 g erythritol or 30 g xylitol opløst i lidt varmt vand. Frysepunktssænker, neutral smag"
